sep=,
" 5","Cotswold Lane","5 Cotswold Lane","Mount Wellington","Auckland City","$880,000","$710,000","1960-1969","111","0.0883","$400,000","25 Sep 2009"
" 6","Cotswold Lane","6 Cotswold Lane","Mount Wellington","Auckland City","$930,000","$710,000","1960-1969","140","0.0964","$325,000","13 Jan 2005"
" 9","Cotswold Lane","9 Cotswold Lane","Mount Wellington","Auckland City","$880,000","$690,000","1960-1969","109","0.0769","$115,000","25 Jan 1991"
" 10","Cotswold Lane","10 Cotswold Lane","Mount Wellington","Auckland City","$910,000","$770,000","1960-1969","113","0.0756","$385,000","24 Jul 2007"
" 13","Cotswold Lane","13 Cotswold Lane","Mount Wellington","Auckland City","$960,000","$790,000","1960-1969","148","0.0857","$225,000","1 Jan 1900"
" 21","Cotswold Lane","21 Cotswold Lane","Mount Wellington","Auckland City","$930,000","$710,000","1960-1969","148","0.0873","$325,000","6 Nov 2004"
" 337","Ellerslie-Panmure Highway","337 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$910,000","$735,000","1970-1979","138","0.0753","$934,000","20 Feb 2017"
" 373","Ellerslie-Panmure Highway","373 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,055,000","$1,000,000","1950-1959","105","0.0822","$325,000","28 Oct 2003"
" 381","Ellerslie-Panmure Highway","381 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,120,000","$1,020,000","1950-1959","137","0.0822","$555,000","10 Aug 2008"
" 387","Ellerslie-Panmure Highway","387 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,150,000","$1,030,000","1950-1959","152","0.0835","$560,000","2 Oct 2007"
" 387A","Ellerslie-Panmure Highway","387A Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,010,000","$975,000","1970-1979","103","0.0819","$420,000","1 Mar 2012"
" 389A","Ellerslie-Panmure Highway","389A Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$950,000","$930,000","1960-1969","119","0.0784","$961,000","27 Jun 2015"
" 391","Ellerslie-Panmure Highway","391 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$900,000","$765,000","1960-1969","121","0.0784","$185,000","1 Jan 1900"
" 405B","Ellerslie-Panmure Highway","405B Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,080,000","$840,000","1970-1979","200","0.0966","$70,000","7 May 1986"
" 411","Ellerslie-Panmure Highway","411 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,055,000","$995,000","1950-1959","110","0.0809","$1,100,000","4 Mar 2015"
" 417","Ellerslie-Panmure Highway","417 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,550,000","$995,000","1980-1989","481","0.0809","$1,400,000","18 Apr 2016"
" 445","Ellerslie-Panmure Highway","445 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$1,100,000","$910,000","1940-1949","174","0.0856","$535,000","11 Aug 2012"
" 447","Ellerslie-Panmure Highway","447 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$980,000","$735,000","1940-1949","234","0.0781","$485,000","8 Feb 2012"
" 449","Ellerslie-Panmure Highway","449 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$900,000","$760,000","1940-1949","123","0.0763","$108,000","26 Apr 1988"
" 451","Ellerslie-Panmure Highway","451 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$840,000","$685,000","1940-1949","83","0.0763","$85,000","30 May 1991"
" 453","Ellerslie-Panmure Highway","453 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$810,000","$685,000","1940-1949","100","0.0763","$87,000","5 Sep 1990"
" 455","Ellerslie-Panmure Highway","455 Ellerslie-Panmure Highway","Mount Wellington","Auckland City","$840,000","$685,000","1950-1959","90","0.0797","$562,200","23 Apr 2013"
" 5","Faber Avenue","5 Faber Avenue","Mount Wellington","Auckland City","$1,080,000","$900,000","1960-1969","130","0.0759","$457,000","3 Oct 2005"
" 14","Faber Avenue","14 Faber Avenue","Mount Wellington","Auckland City","$1,150,000","$950,000","1960-1969","130","0.089","$430,000","27 Oct 2010"
" 3","Ferndale Road","3 Ferndale Road","Mount Wellington","Auckland City","$945,000","$920,000","1940-1949","99","0.0809","$180,000","1 Jan 1900"
" 8","Ferndale Road","8 Ferndale Road","Mount Wellington","Auckland City","$990,000","$950,000","1950-1959","145","0.0754","$260,000","13 Dec 1996"
" 24","Ferndale Road","24 Ferndale Road","Mount Wellington","Auckland City","$980,000","$950,000","1960-1969","183","0.0951","$465,000","13 Mar 2012"
" 31","Ferndale Road","31 Ferndale Road","Mount Wellington","Auckland City","$960,000","$900,000","1950-1959","107","0.084","$578,000","5 Oct 2011"
" 37","Ferndale Road","37 Ferndale Road","Mount Wellington","Auckland City","$1,025,000","$1,000,000","1950-1959","122","0.0946","$461,000","16 Feb 2011"
" 39","Ferndale Road","39 Ferndale Road","Mount Wellington","Auckland City","$920,000","$870,000","1950-1959","98","0.0798","$83,000","6 Jun 1986"
" 51","Ferndale Road","51 Ferndale Road","Mount Wellington","Auckland City","$1,100,000","$1,000,000","1960-1969","114","0.0855","$190,000","1 Jan 1900"
" 59","Ferndale Road","59 Ferndale Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","113","0.0857","$582,000","10 Apr 2012"
" 86","Ferndale Road","86 Ferndale Road","Mount Wellington","Auckland City","$740,000","$640,000","1950-1959","65","0.0823","$305,000","3 Jun 2012"
" 11","Fitzgerald Road","11 Fitzgerald Road","Mount Wellington","Auckland City","$860,000","$660,000","1950-1959","119","0.0784","$205,000","1 Jan 1900"
" 13A","Fitzgerald Road","13A Fitzgerald Road","Mount Wellington","Auckland City","$670,000","$410,000","1950-1959","111","0.0815","$400,000","14 Apr 2012"
" 20","Fitzgerald Road","20 Fitzgerald Road","Mount Wellington","Auckland City","$870,000","$710,000","1950-1959","74","0.0769","$515,000","24 Oct 2013"
" 22","Fitzgerald Road","22 Fitzgerald Road","Mount Wellington","Auckland City","$900,000","$710,000","1950-1959","87","0.086","$140,000","19 May 1995"
" 5","Gunson Road","5 Gunson Road","Mount Wellington","Auckland City","$890,000","$690,000","1960-1969","90","0.0829","$420,000","15 Dec 2010"
" 10","Gunson Road","10 Gunson Road","Mount Wellington","Auckland City","$950,000","$790,000","1950-1959","120","0.0946","$1,042,000","15 Jun 2016"
" 14","Gunson Road","14 Gunson Road","Mount Wellington","Auckland City","$860,000","$710,000","1950-1959","80","0.0849","$220,000","1 Jan 1900"
" 15","Gunson Road","15 Gunson Road","Mount Wellington","Auckland City","$930,000","$790,000","1950-1959","139","0.0809","$245,000","1 Jan 1900"
" 1","Hamlin Road","1 Hamlin Road","Mount Wellington","Auckland City","$1,060,000","$980,000","1970-1979","160","0.0893","$49,000","19 Sep 1983"
" 7","Hamlin Road","7 Hamlin Road","Mount Wellington","Auckland City","$1,000,000","$980,000","1950-1959","134","0.0893","$120,000","30 Mar 1991"
" 9","Hamlin Road","9 Hamlin Road","Mount Wellington","Auckland City","$1,430,000","$950,000","1990-1999","318","0.0893","$45,500","28 Sep 1981"
" 14","Hamlin Road","14 Hamlin Road","Mount Wellington","Auckland City","$960,000","$920,000","1940-1949","150","0.0819","$279,500","2 Jun 2003"
" 42","Hamlin Road","42 Hamlin Road","Mount Wellington","Auckland City","$1,550,000","$950,000","1970-1979","249","0.0941","$1,575,000","4 Sep 2015"
" 60","Hamlin Road","60 Hamlin Road","Mount Wellington","Auckland City","$930,000","$900,000","1960-1969","124","0.0898","$446,500","7 Apr 2010"
" 34","Harwood Road","34 Harwood Road","Mount Wellington","Auckland City","$930,000","$870,000","1960-1969","112","0.0847","$245,000","29 Aug 2002"
" 2","Higgs Road","2 Higgs Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","90","0.0774","$215,000","1 Jan 1900"
" 11","Higgs Road","11 Higgs Road","Mount Wellington","Auckland City","$980,000","$900,000","1950-1959","128","0.0763","$142,000","22 Dec 1994"
" 21","Higgs Road","21 Higgs Road","Mount Wellington","Auckland City","$980,000","$870,000","1980-1989","145","0.0816","$650,000","22 Dec 2014"
" 24","Higgs Road","24 Higgs Road","Mount Wellington","Auckland City","$1,025,000","$1,000,000","1980-1989","87","0.0965","$457,000","1 May 2011"
" 27","Higgs Road","27 Higgs Road","Mount Wellington","Auckland City","$1,030,000","$950,000","1980-1989","139","0.075","$190,000","1 Jan 1900"
" 28","Higgs Road","28 Higgs Road","Mount Wellington","Auckland City","$1,025,000","$1,000,000","1980-1989","110","0.0969","$117,000","3 Mar 1989"
" 30","Higgs Road","30 Higgs Road","Mount Wellington","Auckland City","$1,000,000","$970,000","1980-1989","120","0.0801","$190,000","1 Jan 1900"
" 4","Hillside Road","4 Hillside Road","Mount Wellington","Auckland City","$810,000","$560,000","1990-1999","166","0.0812","$88,000","26 Oct 1990"
" 6","Hillside Road","6 Hillside Road","Mount Wellington","Auckland City","$850,000","$590,000","1950-1959","126","0.0809","$94,000","2 Apr 1993"
" 10","Hillside Road","10 Hillside Road","Mount Wellington","Auckland City","$1,575,000","$590,000","Mixed/Remod","367","0.0809","$216,000","20 Mar 1998"
" 12","Hillside Road","12 Hillside Road","Mount Wellington","Auckland City","$860,000","$590,000","1950-1959","153","0.0809","$450,000","31 Oct 2007"
" 14","Hillside Road","14 Hillside Road","Mount Wellington","Auckland City","$780,000","$590,000","1950-1959","103","0.0809","$175,000","1 Jan 1900"
" 16","Hillside Road","16 Hillside Road","Mount Wellington","Auckland City","$760,000","$590,000","1950-1959","96","0.0809","$42,000","15 Mar 1982"
" 18","Hillside Road","18 Hillside Road","Mount Wellington","Auckland City","$830,000","$590,000","1950-1959","113","0.0809","$175,000","1 Jan 1900"
" 20","Hillside Road","20 Hillside Road","Mount Wellington","Auckland City","$780,000","$620,000","1950-1959","89","0.0809","$750,000","9 Mar 2016"
" 22","Hillside Road","22 Hillside Road","Mount Wellington","Auckland City","$910,000","$590,000","1950-1959","80","0.0809","$575,000","27 May 2013"
" 24","Hillside Road","24 Hillside Road","Mount Wellington","Auckland City","$830,000","$620,000","1950-1959","128","0.0809","$670,000","17 Nov 2015"
" 26","Hillside Road","26 Hillside Road","Mount Wellington","Auckland City","$780,000","$620,000","1950-1959","83","0.0809","$86,000","5 Jul 1988"
" 31","Hillside Road","31 Hillside Road","Mount Wellington","Auckland City","$740,000","$540,000","1920-1929","75","0.0981","$290,000","27 Feb 2013"
" 32","Hillside Road","32 Hillside Road","Mount Wellington","Auckland City","$910,000","$620,000","1970-1979","127","0.0955","$342,000","28 Feb 2005"
" 34","Hillside Road","34 Hillside Road","Mount Wellington","Auckland City","$940,000","$620,000","1970-1979","191","0.0982","$120,000","13 Aug 1994"
" 35","Hillside Road","35 Hillside Road","Mount Wellington","Auckland City","$910,000","$540,000","1960-1969","217","0.0779","$240,000","1 Jan 1900"
" 36","Hillside Road","36 Hillside Road","Mount Wellington","Auckland City","$830,000","$630,000","1980-1989","93","0.0836","$175,000","1 Jan 1900"
" 38","Hillside Road","38 Hillside Road","Mount Wellington","Auckland City","$980,000","$600,000","1970-1979","204","0.081","$935,000","28 Sep 2017"
" 41","Hillside Road","41 Hillside Road","Mount Wellington","Auckland City","$940,000","$600,000","1920-1929","200","0.0958","$148,000","5 Jan 1990"
" 42","Hillside Road","42 Hillside Road","Mount Wellington","Auckland City","$1,050,000","$540,000","1980-1989","201","0.0834","$1,080,000","22 Mar 2017"
" 46","Hillside Road","46 Hillside Road","Mount Wellington","Auckland City","$760,000","$530,000","1970-1979","92","0.0753","$50,000","31 Oct 1983"
" 50","Hillside Road","50 Hillside Road","Mount Wellington","Auckland City","$800,000","$570,000","1950-1959","159","0.0809","$108,500","27 Sep 1989"
" 52","Hillside Road","52 Hillside Road","Mount Wellington","Auckland City","$930,000","$570,000","1950-1959","217","0.0809","$185,000","14 Jan 1998"
" 53","Hillside Road","53 Hillside Road","Mount Wellington","Auckland City","$880,000","$540,000","1950-1959","268","0.0893","$160,000","1 Jan 1900"
" 54","Hillside Road","54 Hillside Road","Mount Wellington","Auckland City","$740,000","$570,000","1950-1959","106","0.0809","$370,000","3 Aug 2011"
" 55","Hillside Road","55 Hillside Road","Mount Wellington","Auckland City","$720,000","$470,000","1910-1919","135","0.0864","$680,000","21 Nov 2014"
" 56","Hillside Road","56 Hillside Road","Mount Wellington","Auckland City","$980,000","$560,000","1950-1959","264","0.093","$330,000","1 Jan 1900"
" 57","Hillside Road","57 Hillside Road","Mount Wellington","Auckland City","$700,000","$470,000","1940-1949","144","0.0891","$185,000","1 Jan 1900"
" 61","Hillside Road","61 Hillside Road","Mount Wellington","Auckland City","$830,000","$470,000","1950-1959","186","0.0825","$235,000","1 Jan 1900"
" 65","Hillside Road","65 Hillside Road","Mount Wellington","Auckland City","$620,000","$470,000","1960-1969","91","0.0844","$58,500","15 Jul 1982"
" 70","Hillside Road","70 Hillside Road","Mount Wellington","Auckland City","$800,000","$560,000","1980-1989","94","0.089","$177,732","20 May 2013"
" 112","Hillside Road","112 Hillside Road","Mount Wellington","Auckland City","$1,030,000","$510,000","1990-1999","320","0.0921","$117,000","30 Jun 1991"
" 3A","Hotunui Drive","3A Hotunui Drive","Mount Wellington","Auckland City","$1,200,000","$590,000","1980-1989","605","0.0812","$425,000","1 Jan 1900"
" 3B","Hotunui Drive","3B Hotunui Drive","Mount Wellington","Auckland City","$1,260,000","$590,000","1980-1989","558","0.0807","$350,000","1 Jan 1900"
" 5","Jarman Road","5 Jarman Road","Mount Wellington","Auckland City","$995,000","$970,000","1960-1969","114","0.0822","$185,000","1 Jan 1900"
" 6","Jarman Road","6 Jarman Road","Mount Wellington","Auckland City","$1,280,000","$920,000","1950-1959","236","0.0825","$1,000,000","30 Oct 2017"
" 14A","Jarman Road","14A Jarman Road","Mount Wellington","Auckland City","$840,000","$660,000","1950-1959","75","0.075","$438,000","10 Oct 2007"
" 15","Jarman Road","15 Jarman Road","Mount Wellington","Auckland City","$770,000","$610,000","1950-1959","90","0.0817","$275,000","15 Dec 2006"
" 16","Jarman Road","16 Jarman Road","Mount Wellington","Auckland City","$970,000","$660,000","1950-1959","190","0.0817","$110,000","30 May 1989"
" 8","Johnston Road","8 Johnston Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","129","0.086","$475,000","10 Oct 2011"
" 9","Johnston Road","9 Johnston Road","Mount Wellington","Auckland City","$1,055,000","$1,030,000","1950-1959","170","0.0954","$501,000","29 May 2006"
" 11","Johnston Road","11 Johnston Road","Mount Wellington","Auckland City","$1,055,000","$1,030,000","1970-1979","262","0.0996","$119,000","29 Apr 1985"
" 4","Jolson Road","4 Jolson Road","Mount Wellington","Auckland City","$700,000","$500,000","1950-1959","95","0.0878","$150,000","1 Jan 1900"
" 40","Jolson Road","40 Jolson Road","Mount Wellington","Auckland City","$700,000","$490,000","1960-1969","106","0.0774","$170,000","1 Jan 1900"
" 42","Jolson Road","42 Jolson Road","Mount Wellington","Auckland City","$650,000","$530,000","1960-1969","99","0.0829","$710,000","15 Oct 2017"
" 2","Kealy Road","2 Kealy Road","Mount Wellington","Auckland City","$650,000","$490,000","1960-1969","92","0.0769","$155,000","1 Jan 1900"
" 6","Kealy Road","6 Kealy Road","Mount Wellington","Auckland City","$740,000","$530,000","1960-1969","95","0.0766","$155,000","1 Jan 1900"
" 11","Kealy Road","11 Kealy Road","Mount Wellington","Auckland City","$670,000","$470,000","1960-1969","106","0.0756","$80,000","30 Sep 1987"
" 12","Kealy Road","12 Kealy Road","Mount Wellington","Auckland City","$770,000","$530,000","1970-1979","82","0.0759","$336,200","2 Dec 2011"
" 15","Kealy Road","15 Kealy Road","Mount Wellington","Auckland City","$720,000","$490,000","1960-1969","104","0.0761","$427,500","30 Nov 2007"
" 1","Keate Place","1 Keate Place","Mount Wellington","Auckland City","$930,000","$770,000","1960-1969","113","0.0832","$680,000","19 Dec 2013"
" 2","Kotahi Road","2 Kotahi Road","Mount Wellington","Auckland City","$760,000","$530,000","1950-1959","121","0.0766","$261,000","12 Jan 2004"
" 3","Kotahi Road","3 Kotahi Road","Mount Wellington","Auckland City","$780,000","$530,000","1950-1959","100","0.0766","$804,500","7 Dec 2017"
" 4","Kotahi Road","4 Kotahi Road","Mount Wellington","Auckland City","$850,000","$530,000","1950-1959","144","0.0766","$530,000","20 Feb 2014"
" 5","Kotahi Road","5 Kotahi Road","Mount Wellington","Auckland City","$900,000","$530,000","1950-1959","183","0.0766","$330,000","18 Feb 2005"
" 6","Kotahi Road","6 Kotahi Road","Mount Wellington","Auckland City","$780,000","$540,000","1950-1959","112","0.0766","$248,000","8 May 2004"
" 7","Kotahi Road","7 Kotahi Road","Mount Wellington","Auckland City","$740,000","$540,000","1950-1959","95","0.0766","$100,000","12 Jan 1989"
" 8","Kotahi Road","8 Kotahi Road","Mount Wellington","Auckland City","$780,000","$540,000","1950-1959","92","0.0766","$323,000","26 Jul 2010"
" 9","Kotahi Road","9 Kotahi Road","Mount Wellington","Auckland City","$780,000","$540,000","1950-1959","96","0.0766","$700,000","20 Mar 2016"
" 10","Kotahi Road","10 Kotahi Road","Mount Wellington","Auckland City","$850,000","$480,000","1950-1959","90","0.0817","$860,000","22 Sep 2017"
" 11","Kotahi Road","11 Kotahi Road","Mount Wellington","Auckland City","$720,000","$480,000","1950-1959","88","0.0792","$425,000","23 Oct 2012"
" 13","Kotahi Road","13 Kotahi Road","Mount Wellington","Auckland City","$630,000","$450,000","1950-1959","90","0.0812","$560,000","18 Mar 2015"
" 4","Lavas Place","4 Lavas Place","Mount Wellington","Auckland City","$240,000","$240,000","Unknown","0","0.0908","$80,000","1 Jan 1900"
" 4","Lavas Place","4 Lavas Place","Mount Wellington","Auckland City","$235,000","$235,000","Unknown","0","0.089","$80,000","1 Jan 1900"
" 12","Lavas Place","12 Lavas Place","Mount Wellington","Auckland City","$1,030,000","$1,000,000","1970-1979","186","0.0873","$65,000","26 May 1983"
" 14","Lavas Place","14 Lavas Place","Mount Wellington","Auckland City","$1,130,000","$900,000","1970-1979","126","0.0792","$40,000","3 Aug 1995"
" 16","Lavas Place","16 Lavas Place","Mount Wellington","Auckland City","$975,000","$950,000","1970-1979","133","0.0827","$950,000","1 Aug 2017"
" 20","Lavas Place","20 Lavas Place","Mount Wellington","Auckland City","$930,000","$870,000","1970-1979","125","0.0835","$356,000","2 Jun 2005"
" 5","Leon Leicester Avenue","5 Leon Leicester Avenue","Mount Wellington","Auckland City","$1,450,000","$550,000","1960-1969","711","0.0812","$298,125","7 May 1996"
" 8","Leonard Road","8 Leonard Road","Mount Wellington","Auckland City","$890,000","$840,000","1960-1969","123","0.08","$875,000","8 Dec 2017"
" 11","Leonard Road","11 Leonard Road","Mount Wellington","Auckland City","$830,000","$780,000","1920-1929","78","0.0867","$845,000","25 May 2016"
" 45","Leonard Road","45 Leonard Road","Mount Wellington","Auckland City","$960,000","$490,000","1950-1959","408","0.0807","$475,000","4 Dec 2012"
" 47","Leonard Road","47 Leonard Road","Mount Wellington","Auckland City","$1,600,000","$490,000","1980-1989","775","0.0809","$1,170,000","15 Feb 2007"
" 49","Leonard Road","49 Leonard Road","Mount Wellington","Auckland City","$1,750,000","$490,000","1960-1969","734","0.0809","$700,000","10 Feb 2006"
" 57","Leonard Road","57 Leonard Road","Mount Wellington","Auckland City","$1,575,000","$490,000","1980-1989","575","0.0809","$850,000","22 Oct 2013"
" 59","Leonard Road","59 Leonard Road","Mount Wellington","Auckland City","$1,575,000","$490,000","1980-1989","575","0.0809","$1,440,000","13 Mar 2017"
" 65","Leonard Road","65 Leonard Road","Mount Wellington","Auckland City","$1,300,000","$490,000","1970-1979","586","0.0809","$680,000","13 May 2011"
" 67","Leonard Road","67 Leonard Road","Mount Wellington","Auckland City","$1,200,000","$490,000","1960-1969","453","0.0809","$560,000","24 Jul 2009"
" 69","Leonard Road","69 Leonard Road","Mount Wellington","Auckland City","$1,200,000","$490,000","1970-1979","536","0.0809","$802,000","6 Apr 2012"
" 71","Leonard Road","71 Leonard Road","Mount Wellington","Auckland City","$1,380,000","$490,000","1970-1979","571","0.0809","$745,000","15 Jul 2011"
" 77","Leonard Road","77 Leonard Road","Mount Wellington","Auckland City","$980,000","$550,000","1960-1969","431","0.0842","$225,000","1 Jan 1900"
" 80","Leonard Road","80 Leonard Road","Mount Wellington","Auckland City","$1,260,000","$560,000","1970-1979","552","0.0945","$126,500","30 Jun 1999"
" 28","Malone Road","28 Malone Road","Mount Wellington","Auckland City","$950,000","$820,000","1960-1969","173","0.0776","$245,000","1 Jan 1900"
" 36","Malone Road","36 Malone Road","Mount Wellington","Auckland City","$1,430,000","$920,000","1960-1969","190","0.0983","$395,000","24 Mar 2003"
" 3","Mataroa Road","3 Mataroa Road","Mount Wellington","Auckland City","$740,000","$490,000","1960-1969","105","0.0787","$198,000","18 Mar 1999"
" 7","Mataroa Road","7 Mataroa Road","Mount Wellington","Auckland City","$1,630,000","$510,000","1970-1979","165","0.0885","$733,000","12 Oct 2013"
" 8","Mataroa Road","8 Mataroa Road","Mount Wellington","Auckland City","$740,000","$510,000","1960-1969","104","0.0911","$145,000","10 Sep 2001"
" 10","Mataroa Road","10 Mataroa Road","Mount Wellington","Auckland City","$830,000","$590,000","1960-1969","164","0.0911","$186,500","18 Mar 1997"
" 13","Mataroa Road","13 Mataroa Road","Mount Wellington","Auckland City","$740,000","$500,000","1960-1969","103","0.0792","$365,000","29 Nov 2006"
" 16","Mataroa Road","16 Mataroa Road","Mount Wellington","Auckland City","$880,000","$560,000","1960-1969","129","0.0911","$821,500","23 Jun 2015"
" 21","Mataroa Road","21 Mataroa Road","Mount Wellington","Auckland City","$910,000","$540,000","1970-1979","198","0.0979","$130,000","22 Oct 1992"
" 23","Mataroa Road","23 Mataroa Road","Mount Wellington","Auckland City","$720,000","$530,000","1970-1979","98","0.0885","$175,000","1 Jan 1900"
" 28","Mataroa Road","28 Mataroa Road","Mount Wellington","Auckland City","$620,000","$420,000","1970-1979","100","0.0961","$512,000","17 Jan 2015"
" 32","Mataroa Road","32 Mataroa Road","Mount Wellington","Auckland City","$620,000","$370,000","1980-1989","88","0.0933","$270,000","29 Jun 2011"
" 39","Mataroa Road","39 Mataroa Road","Mount Wellington","Auckland City","$720,000","$450,000","1970-1979","116","0.0842","$495,500","13 Nov 2014"
" 41","Mataroa Road","41 Mataroa Road","Mount Wellington","Auckland City","$650,000","$430,000","1970-1979","115","0.0763","$44,750","15 Feb 1982"
" 55","Mataroa Road","55 Mataroa Road","Mount Wellington","Auckland City","$650,000","$420,000","1970-1979","90","0.0837","$62,000","8 Mar 1985"
" 57","Mataroa Road","57 Mataroa Road","Mount Wellington","Auckland City","$700,000","$450,000","1970-1979","96","0.0921","$295,000","25 Mar 2011"
" 16","Mccracken Road","16 Mccracken Road","Mount Wellington","Auckland City","$960,000","$840,000","1950-1959","140","0.0756","$650,000","25 Mar 2014"
" 17","Mccracken Road","17 Mccracken Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","95","0.0756","$75,000","6 Nov 1985"
" 21","Mccracken Road","21 Mccracken Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","93","0.0756","$818,000","21 Mar 2015"
" 23","Mccracken Road","23 Mccracken Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","116","0.0756","$460,000","14 Dec 2012"
" 3","Mcrae Road","3 Mcrae Road","Mount Wellington","Auckland City","$1,030,000","$1,000,000","1950-1959","146","0.089","$581,000","19 Oct 2011"
" 4","Mcrae Road","4 Mcrae Road","Mount Wellington","Auckland City","$990,000","$900,000","1950-1959","170","0.0862","$245,000","1 Jan 1900"
" 5","Mcrae Road","5 Mcrae Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","134","0.0797","$206,750","24 Jul 2002"
" 11","Mcrae Road","11 Mcrae Road","Mount Wellington","Auckland City","$995,000","$970,000","1950-1959","131","0.0825","$255,000","1 Jan 1900"
" 31","Mcrae Road","31 Mcrae Road","Mount Wellington","Auckland City","$995,000","$970,000","1960-1969","170","0.0794","$285,000","1 Jan 1900"
" 43","Mcrae Road","43 Mcrae Road","Mount Wellington","Auckland City","$1,380,000","$970,000","1970-1979","181","0.0822","$660,000","22 Aug 2009"
" 8","Meadow Street","8 Meadow Street","Mount Wellington","Auckland City","$740,000","$600,000","1920-1929","98","0.0951","$89,000","15 Sep 1990"
" 10","Meadow Street","10 Meadow Street","Mount Wellington","Auckland City","$850,000","$600,000","1920-1929","107","0.095","$382,000","10 Aug 2008"
" 11A","Meadow Street","11A Meadow Street","Mount Wellington","Auckland City","$930,000","$590,000","1950-1959","147","0.0809","$223,000","30 Sep 1998"
