sep=,
" 15","Meadow Street","15 Meadow Street","Mount Wellington","Auckland City","$900,000","$620,000","1950-1959","100","0.0809","$362,600","2 Apr 2007"
" 19","Meadow Street","19 Meadow Street","Mount Wellington","Auckland City","$830,000","$590,000","1950-1959","105","0.0809","$320,000","29 Apr 2005"
" 21","Meadow Street","21 Meadow Street","Mount Wellington","Auckland City","$780,000","$590,000","1950-1959","83","0.0809","$290,000","10 Jun 2006"
" 23","Meadow Street","23 Meadow Street","Mount Wellington","Auckland City","$900,000","$590,000","1950-1959","113","0.0809","$420,000","14 Dec 2012"
" 25","Meadow Street","25 Meadow Street","Mount Wellington","Auckland City","$780,000","$560,000","1950-1959","95","0.0809","$421,000","7 Feb 2012"
" 27","Meadow Street","27 Meadow Street","Mount Wellington","Auckland City","$830,000","$600,000","1950-1959","104","0.0908","$175,000","1 Jan 1900"
" 7","Melton Road","7 Melton Road","Mount Wellington","Auckland City","$950,000","$790,000","1960-1969","152","0.0943","$850,000","30 Jun 2017"
" 8","Melton Road","8 Melton Road","Mount Wellington","Auckland City","$930,000","$710,000","1960-1969","141","0.0867","$710,000","29 Apr 2014"
" 9","Melton Road","9 Melton Road","Mount Wellington","Auckland City","$910,000","$690,000","1960-1969","143","0.0789","$438,750","24 Feb 2010"
" 10","Melton Road","10 Melton Road","Mount Wellington","Auckland City","$930,000","$710,000","1960-1969","119","0.0903","$345,600","3 Mar 2004"
" 11","Melton Road","11 Melton Road","Mount Wellington","Auckland City","$880,000","$690,000","1960-1969","92","0.0903","$576,000","10 Apr 2013"
" 16","Melton Road","16 Melton Road","Mount Wellington","Auckland City","$930,000","$770,000","1960-1969","128","0.0835","$467,800","13 Apr 2011"
" 17","Melton Road","17 Melton Road","Mount Wellington","Auckland City","$930,000","$690,000","1960-1969","150","0.0842","$608,000","11 Nov 2012"
" 18","Melton Road","18 Melton Road","Mount Wellington","Auckland City","$850,000","$660,000","1960-1969","89","0.0756","$415,500","10 Dec 2006"
" 19","Melton Road","19 Melton Road","Mount Wellington","Auckland City","$890,000","$690,000","1960-1969","113","0.0832","$430,000","29 May 2008"
" 20","Melton Road","20 Melton Road","Mount Wellington","Auckland City","$890,000","$690,000","1960-1969","99","0.0819","$126,500","18 Oct 1988"
" 21","Melton Road","21 Melton Road","Mount Wellington","Auckland City","$920,000","$690,000","1960-1969","152","0.086","$600,000","2 Oct 2013"
" 22","Melton Road","22 Melton Road","Mount Wellington","Auckland City","$920,000","$770,000","1960-1969","144","0.0819","$205,000","13 Jul 1995"
" 23","Melton Road","23 Melton Road","Mount Wellington","Auckland City","$740,000","$740,000","Unknown","0","0.0782","$200,000","1 Jan 1900"
" 5B","Monier Place","5B Monier Place","Mount Wellington","Auckland City","$1,575,000","$560,000","1970-1979","749","0.0944","$351,000","23 Dec 1998"
" 3","Motu Place","3 Motu Place","Mount Wellington","Auckland City","$930,000","$900,000","1910-1919","113","0.0981","$83,000","24 Sep 1989"
" 16","Motu Place","16 Motu Place","Mount Wellington","Auckland City","$1,080,000","$920,000","1980-1989","195","0.0803","$249,000","2 Feb 2002"
" 17","Motu Place","17 Motu Place","Mount Wellington","Auckland City","$950,000","$920,000","1970-1979","87","0.0823","$153,000","23 Aug 1995"
" 22","Motu Place","22 Motu Place","Mount Wellington","Auckland City","$1,000,000","$920,000","1980-1989","142","0.08","$480,000","6 Nov 2006"
" 99","Mount Wellington Highway","99 Mount Wellington Highway","Mount Wellington","Auckland City","$920,000","$790,000","1970-1979","114","0.0878","$85,000","8 Nov 1986"
" 101","Mount Wellington Highway","101 Mount Wellington Highway","Mount Wellington","Auckland City","$930,000","$790,000","1970-1979","138","0.087","$835,000","22 Jul 2015"
" 121","Mount Wellington Highway","121 Mount Wellington Highway","Mount Wellington","Auckland City","$930,000","$820,000","1950-1959","113","0.0952","$195,000","1 Aug 1995"
" 125","Mount Wellington Highway","125 Mount Wellington Highway","Mount Wellington","Auckland City","$2,980,000","$770,000","1970-1979","566","0.0812","$600,000","1 Jan 1900"
" 139","Mount Wellington Highway","139 Mount Wellington Highway","Mount Wellington","Auckland City","$870,000","$770,000","1960-1969","121","0.0814","$65,000","6 Jan 1987"
" 161","Mount Wellington Highway","161 Mount Wellington Highway","Mount Wellington","Auckland City","$900,000","$770,000","1950-1959","100","0.084","$180,000","1 Jan 1900"
" 163","Mount Wellington Highway","163 Mount Wellington Highway","Mount Wellington","Auckland City","$920,000","$770,000","1950-1959","122","0.0814","$195,000","1 Jan 1900"
" 175","Mount Wellington Highway","175 Mount Wellington Highway","Mount Wellington","Auckland City","$840,000","$660,000","1950-1959","102","0.0807","$210,000","18 Jan 2002"
" 183","Mount Wellington Highway","183 Mount Wellington Highway","Mount Wellington","Auckland City","$900,000","$770,000","1950-1959","97","0.0809","$225,000","19 Mar 1999"
" 275","Mount Wellington Highway","275 Mount Wellington Highway","Mount Wellington","Auckland City","$1,040,000","$1,020,000","1940-1949","99","0.0986","$1","8 Sep 2000"
" 279","Mount Wellington Highway","279 Mount Wellington Highway","Mount Wellington","Auckland City","$2,380,000","$1,020,000","2010-2019","417","0.0999","$700,000","19 Dec 2012"
" 4","New Brighton Road","4 New Brighton Road","Mount Wellington","Auckland City","$910,000","$620,000","1920-1929","142","0.0832","$465,000","25 Mar 2012"
" 6","New Brighton Road","6 New Brighton Road","Mount Wellington","Auckland City","$800,000","$620,000","1920-1929","90","0.0858","$300,000","14 Sep 2011"
" 8","New Brighton Road","8 New Brighton Road","Mount Wellington","Auckland City","$960,000","$650,000","1920-1929","124","0.0885","$457,000","23 Jun 2011"
" 11","New Brighton Road","11 New Brighton Road","Mount Wellington","Auckland City","$760,000","$590,000","1920-1929","80","0.0815","$322,500","7 Nov 2010"
" 12","New Brighton Road","12 New Brighton Road","Mount Wellington","Auckland City","$830,000","$620,000","1950-1959","106","0.0936","$380,000","17 Apr 2009"
" 14","New Brighton Road","14 New Brighton Road","Mount Wellington","Auckland City","$910,000","$630,000","1980-1989","156","0.0963","$580,000","7 Jul 2014"
" 1A","Pacific Rise","1A Pacific Rise","Mount Wellington","Auckland City","$3,475,000","$1,020,000","1990-1999","1060","0.0839","$6,780,357","7 Dec 2015"
" 143","Panama Road","143 Panama Road","Mount Wellington","Auckland City","$750,000","$490,000","1950-1959","97","0.0759","$150,000","1 Jan 1900"
" 149","Panama Road","149 Panama Road","Mount Wellington","Auckland City","$740,000","$530,000","1950-1959","116","0.0819","$155,000","1 Jan 1900"
" 186","Panama Road","186 Panama Road","Mount Wellington","Auckland City","$860,000","$620,000","1970-1979","128","0.0751","$107,000","24 Oct 1990"
" 192","Panama Road","192 Panama Road","Mount Wellington","Auckland City","$1,130,000","$660,000","Mixed/Remod","280","0.0751","$360,000","5 Dec 2007"
" 194","Panama Road","194 Panama Road","Mount Wellington","Auckland City","$810,000","$660,000","1950-1959","116","0.0751","$155,000","1 Jan 1900"
" 200","Panama Road","200 Panama Road","Mount Wellington","Auckland City","$830,000","$660,000","1950-1959","109","0.0751","$730,000","12 Apr 2017"
" 208","Panama Road","208 Panama Road","Mount Wellington","Auckland City","$810,000","$490,000","1950-1959","133","0.0789","$778,000","2 Sep 2015"
" 220","Panama Road","220 Panama Road","Mount Wellington","Auckland City","$730,000","$480,000","1960-1969","98","0.0936","$503,000","10 Jul 2014"
" 258","Panama Road","258 Panama Road","Mount Wellington","Auckland City","$700,000","$530,000","1950-1959","98","0.0763","$150,000","1 Jan 1900"
" 260","Panama Road","260 Panama Road","Mount Wellington","Auckland City","$740,000","$560,000","1950-1959","95","0.0794","$150,000","1 Jan 1900"
" 262","Panama Road","262 Panama Road","Mount Wellington","Auckland City","$780,000","$570,000","1950-1959","99","0.0822","$160,000","10 Apr 2002"
" 264","Panama Road","264 Panama Road","Mount Wellington","Auckland City","$780,000","$560,000","1960-1969","100","0.085","$155,000","1 Jan 1900"
" 276","Panama Road","276 Panama Road","Mount Wellington","Auckland City","$780,000","$560,000","1960-1969","156","0.0759","$385,000","20 Jun 2009"
" 292","Panama Road","292 Panama Road","Mount Wellington","Auckland City","$1,050,000","$660,000","1960-1969","281","0.0798","$500,000","17 Sep 2012"
" 352","Panama Road","352 Panama Road","Mount Wellington","Auckland City","$780,000","$510,000","1960-1969","127","0.0892","$67,000","7 Aug 1985"
" 354","Panama Road","354 Panama Road","Mount Wellington","Auckland City","$820,000","$540,000","1960-1969","134","0.0916","$190,000","1 Jan 1900"
" 360","Panama Road","360 Panama Road","Mount Wellington","Auckland City","$700,000","$530,000","1960-1969","102","0.0759","$180,000","1 Jan 1900"
" 364","Panama Road","364 Panama Road","Mount Wellington","Auckland City","$700,000","$540,000","1960-1969","97","0.0979","$61,000","21 Dec 1992"
" 366","Panama Road","366 Panama Road","Mount Wellington","Auckland City","$700,000","$530,000","1960-1969","107","0.0782","$155,000","1 Jan 1900"
" 414","Panama Road","414 Panama Road","Mount Wellington","Auckland City","$750,000","$530,000","1960-1969","114","0.0761","$170,000","1 Jan 1900"
" 446A","Panama Road","446A Panama Road","Mount Wellington","Auckland City","$330,000","$330,000","Unknown","0","0.0989","$20,000","11 May 1993"
" 456","Panama Road","456 Panama Road","Mount Wellington","Auckland City","$530,000","$310,000","1940-1949","86","0.0946","$51,500","2 Jul 1986"
" 81","Panorama Road","81 Panorama Road","Mount Wellington","Auckland City","$930,000","$900,000","1930-1939","89","0.087","$195,000","1 Jan 1900"
" 1","Parry Road","1 Parry Road","Mount Wellington","Auckland City","$1,500,000","$650,000","1960-1969","274","0.0969","$400,000","1 Jan 1900"
" 4","Parry Road","4 Parry Road","Mount Wellington","Auckland City","$1,000,000","$650,000","1960-1969","315","0.086","$33,653","29 Nov 1995"
" 18","Parry Road","18 Parry Road","Mount Wellington","Auckland City","$940,000","$620,000","1950-1959","189","0.0789","$781,000","16 Apr 2015"
" 24","Parry Road","24 Parry Road","Mount Wellington","Auckland City","$910,000","$690,000","1950-1959","88","0.087","$868,000","17 Sep 2016"
" 26","Parry Road","26 Parry Road","Mount Wellington","Auckland City","$850,000","$690,000","1950-1959","80","0.085","$175,000","1 Jan 1900"
" 32","Parry Road","32 Parry Road","Mount Wellington","Auckland City","$980,000","$660,000","1950-1959","201","0.0776","$920,000","16 Mar 2017"
" 4","Peace Avenue","4 Peace Avenue","Mount Wellington","Auckland City","$670,000","$470,000","1960-1969","100","0.0751","$329,000","10 Feb 2011"
" 10","Peace Avenue","10 Peace Avenue","Mount Wellington","Auckland City","$670,000","$490,000","1960-1969","93","0.0829","$420,000","16 Feb 2014"
" 63","Penrose Road","63 Penrose Road","Mount Wellington","Auckland City","$670,000","$480,000","1960-1969","105","0.0769","$737,000","12 May 2016"
" 65","Penrose Road","65 Penrose Road","Mount Wellington","Auckland City","$740,000","$550,000","1960-1969","115","0.0817","$210,000","1 Jan 1900"
" 149","Penrose Road","149 Penrose Road","Mount Wellington","Auckland City","$920,000","$660,000","1970-1979","180","0.0964","$240,000","2 Aug 1999"
" 165","Penrose Road","165 Penrose Road","Mount Wellington","Auckland City","$930,000","$820,000","1940-1949","157","0.0814","$225,000","23 Dec 2002"
" 178","Penrose Road","178 Penrose Road","Mount Wellington","Auckland City","$1,000,000","$790,000","1950-1959","206","0.0938","$240,000","1 Jan 1900"
" 220","Penrose Road","220 Penrose Road","Mount Wellington","Auckland City","$720,000","$700,000","Unknown","0","0.0798","$113,000","1 Jan 1900"
" 222","Penrose Road","222 Penrose Road","Mount Wellington","Auckland City","$990,000","$790,000","1910-1919","177","0.0895","$605,000","24 Jul 2009"
" 225","Penrose Road","225 Penrose Road","Mount Wellington","Auckland City","$860,000","$790,000","1940-1949","113","0.0933","$932,000","3 Mar 2016"
" 230","Penrose Road","230 Penrose Road","Mount Wellington","Auckland City","$1,280,000","$770,000","2000-2009","253","0.0809","$180,000","20 Jul 2001"
" 232","Penrose Road","232 Penrose Road","Mount Wellington","Auckland City","$930,000","$770,000","1940-1949","152","0.0809","$480,000","28 May 2007"
" 233","Penrose Road","233 Penrose Road","Mount Wellington","Auckland City","$920,000","$820,000","1950-1959","131","0.0823","$105,000","15 Jun 1989"
" 241","Penrose Road","241 Penrose Road","Mount Wellington","Auckland City","$1,280,000","$790,000","1930-1939","280","0.0833","$1,025,000","5 Mar 2017"
" 245","Penrose Road","245 Penrose Road","Mount Wellington","Auckland City","$960,000","$710,000","1970-1979","250","0.0809","$272,000","27 Aug 2001"
" 263","Penrose Road","263 Penrose Road","Mount Wellington","Auckland City","$890,000","$770,000","1950-1959","102","0.0809","$385,000","23 Jul 2006"
" 265","Penrose Road","265 Penrose Road","Mount Wellington","Auckland City","$890,000","$790,000","1950-1959","105","0.0809","$381,000","8 May 2009"
" 267","Penrose Road","267 Penrose Road","Mount Wellington","Auckland City","$890,000","$770,000","1950-1959","110","0.0809","$962,000","20 Nov 2015"
" 277","Penrose Road","277 Penrose Road","Mount Wellington","Auckland City","$920,000","$740,000","1950-1959","155","0.0847","$250,000","1 Jan 1900"
" 279","Penrose Road","279 Penrose Road","Mount Wellington","Auckland City","$1,050,000","$770,000","1950-1959","294","0.0842","$57,000","9 Oct 1992"
" 281","Penrose Road","281 Penrose Road","Mount Wellington","Auckland City","$890,000","$790,000","1950-1959","102","0.0842","$205,000","1 Jan 1900"
" 6","Portman Road","6 Portman Road","Mount Wellington","Auckland City","$820,000","$610,000","1960-1969","130","0.0926","$195,500","20 Mar 1999"
" 8","Portman Road","8 Portman Road","Mount Wellington","Auckland City","$760,000","$610,000","1960-1969","83","0.0933","$170,000","1 Jan 1900"
" 10","Portman Road","10 Portman Road","Mount Wellington","Auckland City","$760,000","$540,000","1960-1969","123","0.0905","$125,000","11 Feb 1988"
" 12","Portman Road","12 Portman Road","Mount Wellington","Auckland City","$830,000","$540,000","1960-1969","130","0.0868","$190,000","4 Oct 1997"
" 14","Portman Road","14 Portman Road","Mount Wellington","Auckland City","$670,000","$460,000","1960-1969","103","0.0807","$175,000","14 Apr 1996"
" 30","Portman Road","30 Portman Road","Mount Wellington","Auckland City","$950,000","$710,000","1960-1969","125","0.0917","$337,500","24 Apr 2005"
" 31","Portman Road","31 Portman Road","Mount Wellington","Auckland City","$950,000","$770,000","1960-1969","145","0.0789","$413,000","12 Feb 2007"
" 32","Portman Road","32 Portman Road","Mount Wellington","Auckland City","$950,000","$690,000","1960-1969","176","0.0779","$94,500","22 Sep 1993"
" 35","Portman Road","35 Portman Road","Mount Wellington","Auckland City","$920,000","$790,000","1960-1969","116","0.0809","$185,000","4 Aug 2000"
" 37","Portman Road","37 Portman Road","Mount Wellington","Auckland City","$1,200,000","$790,000","Mixed/Remod","291","0.084","$380,200","24 Aug 2005"
" 41","Portman Road","41 Portman Road","Mount Wellington","Auckland City","$880,000","$710,000","1960-1969","103","0.0857","$374,000","20 Mar 2012"
" 43","Portman Road","43 Portman Road","Mount Wellington","Auckland City","$980,000","$710,000","1970-1979","189","0.0812","$70,000","21 Jul 1986"
" 49","Portman Road","49 Portman Road","Mount Wellington","Auckland City","$925,000","$900,000","1960-1969","104","0.0943","$175,000","1 Jan 1900"
" 52A","Portman Road","52A Portman Road","Mount Wellington","Auckland City","$850,000","$560,000","1960-1969","116","0.0828","",""
" 56","Portman Road","56 Portman Road","Mount Wellington","Auckland City","$920,000","$790,000","1960-1969","150","0.085","$225,000","1 Jan 1900"
" 58","Portman Road","58 Portman Road","Mount Wellington","Auckland City","$910,000","$790,000","1960-1969","131","0.0862","$426,000","9 Nov 2009"
" 4","Price Crescent","4 Price Crescent","Mount Wellington","Auckland City","$950,000","$560,000","1950-1959","177","0.0864","$503,000","22 Aug 2012"
" 13","Price Crescent","13 Price Crescent","Mount Wellington","Auckland City","$1,930,000","$970,000","1950-1959","422","0.0983","$1,375,000","12 Aug 2015"
" 16","Price Crescent","16 Price Crescent","Mount Wellington","Auckland City","$930,000","$870,000","1950-1959","122","0.0809","$426,000","22 Jun 2011"
" 18","Price Crescent","18 Price Crescent","Mount Wellington","Auckland City","$1,030,000","$1,000,000","1950-1959","131","0.0855","$190,000","26 May 1999"
" 33","Price Crescent","33 Price Crescent","Mount Wellington","Auckland City","$950,000","$920,000","1950-1959","105","0.0861","$565,000","6 Jan 2014"
" 33C","Price Crescent","33C Price Crescent","Mount Wellington","Auckland City","$960,000","$840,000","1990-1999","136","0.075","$575,000","14 Feb 2013"
" 55","Price Crescent","55 Price Crescent","Mount Wellington","Auckland City","$960,000","$920,000","1950-1959","106","0.0979","$215,000","1 Jan 1900"
" 735","Rangiputa Road","735 Rangiputa Road","Mount Wellington","Far North","$860,000","$630,000","2000-2009","136","0.0809","$185,000","14 Aug 2001"
" 3","Rayma Place","3 Rayma Place","Mount Wellington","Auckland City","$1,050,000","$950,000","1960-1969","260","0.0816","$225,000","1 Jan 1900"
" 5","Rielly Place","5 Rielly Place","Mount Wellington","Auckland City","$1,280,000","$920,000","1970-1979","225","0.0917","$560,000","19 Oct 2009"
" 9","Rielly Place","9 Rielly Place","Mount Wellington","Auckland City","$1,230,000","$920,000","1970-1979","153","0.0928","$312,000","11 Jun 2003"
" 23","Rielly Place","23 Rielly Place","Mount Wellington","Auckland City","$950,000","$920,000","1970-1979","91","0.093","$180,000","1 Jan 1900"
" 27","Rielly Place","27 Rielly Place","Mount Wellington","Auckland City","$960,000","$920,000","1970-1979","100","0.0961","$400,000","26 Jun 2010"
" 33","Rielly Place","33 Rielly Place","Mount Wellington","Auckland City","$1,280,000","$950,000","1970-1979","180","0.0994","$274,000","30 May 2003"
" 35","Rielly Place","35 Rielly Place","Mount Wellington","Auckland City","$980,000","$920,000","1970-1979","129","0.0941","$204,000","27 Apr 2000"
" 39","Rielly Place","39 Rielly Place","Mount Wellington","Auckland City","$980,000","$950,000","1970-1979","177","0.0926","$426,000","5 Aug 2010"
" 8","Ruawai Road","8 Ruawai Road","Mount Wellington","Auckland City","$810,000","$650,000","1940-1949","144","0.0779","$159,000","9 Feb 1996"
" 29","Ruawai Road","29 Ruawai Road","Mount Wellington","Auckland City","$990,000","$950,000","1950-1959","165","0.0809","$240,000","1 Jan 1900"
" 36","Ruawai Road","36 Ruawai Road","Mount Wellington","Auckland City","$1,000,000","$950,000","1950-1959","181","0.091","$350,000","29 Sep 2002"
" 80","Ruawai Road","80 Ruawai Road","Mount Wellington","Auckland City","$975,000","$950,000","1960-1969","96","0.0809","$722,000","11 Jun 2014"
" 102","Ruawai Road","102 Ruawai Road","Mount Wellington","Auckland City","$1,030,000","$1,000,000","1950-1959","108","0.0823","",""
" 105","Ruawai Road","105 Ruawai Road","Mount Wellington","Auckland City","$995,000","$970,000","1950-1959","79","0.0991","$190,000","1 Jan 1900"
" 9","Runa Place","9 Runa Place","Mount Wellington","Auckland City","$650,000","$500,000","1960-1969","96","0.0923","$155,000","1 Jan 1900"
" 10","Runa Place","10 Runa Place","Mount Wellington","Auckland City","$650,000","$490,000","1960-1969","103","0.0842","$155,000","1 Jan 1900"
" 12","Runa Place","12 Runa Place","Mount Wellington","Auckland City","$650,000","$490,000","1960-1969","97","0.0759","$155,000","1 Jan 1900"
" 10","Rydal Drive","10 Rydal Drive","Mount Wellington","Auckland City","$920,000","$690,000","1970-1979","189","0.0983","$255,000","1 Jan 1900"
" 12","Rydal Drive","12 Rydal Drive","Mount Wellington","Auckland City","$1,030,000","$770,000","1970-1979","218","0.0986","$990,000","4 Mar 2015"
" 13","Rydal Drive","13 Rydal Drive","Mount Wellington","Auckland City","$920,000","$690,000","1980-1989","140","0.0921","$245,000","20 Oct 1998"
" 6","Skinner Road","6 Skinner Road","Mount Wellington","Auckland City","$960,000","$900,000","1950-1959","146","0.0996","$240,000","1 Jan 1900"
" 8","Skinner Road","8 Skinner Road","Mount Wellington","Auckland City","$1,050,000","$900,000","1950-1959","269","0.0966","",""
" 4","Spooner Lane","4 Spooner Lane","Mount Wellington","Auckland City","$950,000","$870,000","1980-1989","120","0.0828","",""
" 8E","Sylvia Park Road","8E Sylvia Park Road","Mount Wellington","Auckland City","$2,550,000","$790,000","1990-1999","830","0.098","$1,681,000","13 Dec 2012"
" 7","Walters Road","7 Walters Road","Mount Wellington","Auckland City","$830,000","$600,000","1950-1959","94","0.0769","$93,000","16 Aug 1988"
" 9","Walters Road","9 Walters Road","Mount Wellington","Auckland City","$850,000","$620,000","1950-1959","116","0.0774","$48,000","16 Dec 1985"
" 13","Walters Road","13 Walters Road","Mount Wellington","Auckland City","$1,000,000","$650,000","1950-1959","131","0.0812","$720,000","17 Mar 2015"
" 15","Walters Road","15 Walters Road","Mount Wellington","Auckland City","$900,000","$690,000","1950-1959","114","0.0875","$69,000","4 Oct 1985"
" 17","Walters Road","17 Walters Road","Mount Wellington","Auckland City","$830,000","$650,000","1950-1959","93","0.0941","$302,000","26 Apr 2009"
" 19","Walters Road","19 Walters Road","Mount Wellington","Auckland City","$910,000","$650,000","1950-1959","128","0.0905","$439,000","6 Sep 2010"
" 21","Walters Road","21 Walters Road","Mount Wellington","Auckland City","$910,000","$620,000","1950-1959","136","0.0766","$48,000","15 Nov 1982"
" 23","Walters Road","23 Walters Road","Mount Wellington","Auckland City","$750,000","$620,000","1950-1959","120","0.0766","$476,000","9 Apr 2013"
" 28","Walters Road","28 Walters Road","Mount Wellington","Auckland City","$900,000","$650,000","1950-1959","119","0.0761","$716,000","13 May 2015"
" 30","Walters Road","30 Walters Road","Mount Wellington","Auckland City","$880,000","$650,000","1950-1959","88","0.0756","$170,000","26 Sep 2000"
" 39","Walters Road","39 Walters Road","Mount Wellington","Auckland City","$850,000","$660,000","1950-1959","127","0.0923","$105,000","27 May 1990"
" 41","Walters Road","41 Walters Road","Mount Wellington","Auckland City","$800,000","$600,000","1950-1959","95","0.0784","$111,000","4 Feb 1991"
" 44","Walters Road","44 Walters Road","Mount Wellington","Auckland City","$880,000","$660,000","1950-1959","94","0.0761","$647,000","3 Jun 2015"
" 47","Walters Road","47 Walters Road","Mount Wellington","Auckland City","$800,000","$620,000","1950-1959","92","0.0817","$147,000","8 Jan 2003"
" 49","Walters Road","49 Walters Road","Mount Wellington","Auckland City","$910,000","$650,000","1950-1959","125","0.0822","$910,000","5 Nov 2015"
" 53","Walters Road","53 Walters Road","Mount Wellington","Auckland City","$880,000","$620,000","1950-1959","218","0.0798","$620,000","8 Apr 2015"
" 57","Walters Road","57 Walters Road","Mount Wellington","Auckland City","$850,000","$620,000","1950-1959","112","0.0779","$175,000","1 Jan 1900"
" 60","Walters Road","60 Walters Road","Mount Wellington","Auckland City","$900,000","$660,000","1950-1959","120","0.0845","$165,000","20 Oct 2000"
" 71","Walters Road","71 Walters Road","Mount Wellington","Auckland City","$880,000","$620,000","1950-1959","126","0.0804","$120,000","19 Jul 1990"
" 73","Walters Road","73 Walters Road","Mount Wellington","Auckland City","$830,000","$650,000","1950-1959","80","0.0804","$312,000","12 Jan 2011"
" 19","Whitford Avenue","19 Whitford Avenue","Mount Wellington","Auckland City","$1,230,000","$970,000","1980-1989","237","0.0994","$91,000","16 Dec 1988"
" 1","Wilson Way","1 Wilson Way","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","102","0.0913","$250,000","1 Jan 1900"
" 8-10","Yee Place","8-10 Yee Place","Mount Wellington","Auckland City","$1,050,000","$740,000","1980-1989","230","0.0805","",""
" 12-14","Yee Place","12-14 Yee Place","Mount Wellington","Auckland City","$1,100,000","$870,000","1980-1989","203","0.0809","$165,000","1 Jan 1900"
" 16-18","Yee Place","16-18 Yee Place","Mount Wellington","Auckland City","$1,130,000","$870,000","1980-1989","193","0.0822","$165,000","1 Jan 1900"
" 3","Young Road","3 Young Road","Mount Wellington","Auckland City","$1,030,000","$770,000","1960-1969","248","0.0895","$108,000","20 Jan 1992"
" 5","Young Road","5 Young Road","Mount Wellington","Auckland City","$780,000","$600,000","1950-1959","79","0.0943","$430,000","31 Jan 2013"
" 11","Young Road","11 Young Road","Mount Wellington","Auckland City","$870,000","$660,000","1950-1959","111","0.0756","$175,000","1 Jan 1900"
